genes,Description
Nbe.v1.s00010g42770,U-box domain-containing protein
Nbe.v1.s00010g42780,Zn-finger in Ran binding protein and others
Nbe.v1.s00010g42810,ATP-dependent RNA helicase-like protein DB10 isoform X1
Nbe.v1.s00010g42820,Anaphase-promoting complex subunit 5
Nbe.v1.s00010g42860,K-box region
Nbe.v1.s00010g42870,breast cancer carboxy-terminal domain
Nbe.v1.s00010g42880,DNA repair metallo-beta-lactamase
Nbe.v1.s00010g42890,3-ketoacyl-CoA synthase
Nbe.v1.s00010g42900,-
Nbe.v1.s00010g42950,RING-like zinc finger
Nbe.v1.s00010g42960,Cytochrome P450
Nbe.v1.s00010g42970,Belongs to the helicase family
Nbe.v1.s00010g42980,A Receptor for Ubiquitination Targets
Nbe.v1.s00010g42990,EF-hand domain
Nbe.v1.s00010g43000,DNA binding domain
Nbe.v1.s00010g43020,Vegetative cell wall protein
Nbe.v1.s00010g43030,Lytic transglycolase
Nbe.v1.s00010g43080,FAE1/Type III polyketide synthase-like protein
Nbe.v1.s00010g43090,Endonuclease/Exonuclease/phosphatase family
Nbe.v1.s00010g43110,Uncharacterized protein K02A2.6-like
Nbe.v1.s00010g43120,Reverse transcriptase-like
Nbe.v1.s00010g43130,Retrotransposon gag protein
Nbe.v1.s00010g43140,DNA RNA polymerases superfamily protein
Nbe.v1.s00010g43150,DNA RNA polymerases superfamily protein
Nbe.v1.s00010g43160,"transposition, RNA-mediated"
Nbe.v1.s00010g43170,-
Nbe.v1.s00010g43180,-
Nbe.v1.s00010g43190,Zeaxanthin epoxidase
Nbe.v1.s00010g43200,FAD binding domain
Nbe.v1.s00010g43210,ATPase subunit
Nbe.v1.s00010g43220,Plant non-specific lipid-transfer proteins transfer phospholipids as well as galactolipids across membranes. May play a role in wax or cutin deposition in the cell walls of expanding epidermal cells and certain secretory tissues
Nbe.v1.s00010g43240,Non-specific lipid-transfer protein
Nbe.v1.s00010g43270,Plant non-specific lipid-transfer proteins transfer phospholipids as well as galactolipids across membranes. May play a role in wax or cutin deposition in the cell walls of expanding epidermal cells and certain secretory tissues
Nbe.v1.s00010g43280,Conserved gene of
Nbe.v1.s00010g43310,Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily
Nbe.v1.s00010g43330,Uncharacterized protein K02A2.6-like
Nbe.v1.s00010g43340,Oleosin
Nbe.v1.s00010g43370,ribosomal RNA small subunit methyltransferase
Nbe.v1.s00010g43380,May be involved in modulation of pathogen defense and leaf cell death
Nbe.v1.s00010g43420,RING-like zinc finger
Nbe.v1.s00010g43430,Encoded by
Nbe.v1.s00010g43450,Protein FAR1-RELATED SEQUENCE
Nbe.v1.s00010g43460,SPOC domain
Nbe.v1.s00010g43470,DnaJ C terminal domain
Nbe.v1.s00010g43480,Folate-sensitive fragile site protein Fra10Ac1
Nbe.v1.s00010g43490,Polyadenylate-binding protein-interacting protein
Nbe.v1.s00010g43500,RNA-binding protein 48 isoform X1
Nbe.v1.s00010g43510,Transmembrane protein 18
Nbe.v1.s00010g43520,"psbP domain-containing protein 5, chloroplastic isoform X1"
Nbe.v1.s00010g43530,-
Nbe.v1.s00010g43540,-
Nbe.v1.s00010g43550,Belongs to the syntaxin family
Nbe.v1.s00010g43560,Exocyst component 84 C-terminal
Nbe.v1.s00010g43570,phospholipase C
Nbe.v1.s00010g43590,ZnF_NFX
Nbe.v1.s00010g43620,Serine threonine-protein
Nbe.v1.s00010g43630,-
Nbe.v1.s00010g43660,catalytic domain of ctd-like phosphatases
Nbe.v1.s00010g43670,Protein kinase domain
Nbe.v1.s00010g43710,"transposition, RNA-mediated"
Nbe.v1.s00010g43720,Reverse transcriptase (RNA-dependent DNA polymerase)
Nbe.v1.s00010g43740,GAG-pre-integrase domain
Nbe.v1.s00010g43760,Glycosyl hydrolases family 17
Nbe.v1.s00010g43770,Belongs to the peptidase M10A family
Nbe.v1.s00010g43780,gag-polypeptide of LTR copia-type
Nbe.v1.s00010g43820,Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolases superfamily protein
Nbe.v1.s00010g43840,"transposition, RNA-mediated"
Nbe.v1.s00010g43850,Protein POLLEN DEFECTIVE IN GUIDANCE
Nbe.v1.s00010g43880,Pentatricopeptide repeat-containing protein
Nbe.v1.s00010g43900,PHD finger protein ALFIN-LIKE 2-like
Nbe.v1.s00010g43910,-
Nbe.v1.s00010g43920,Belongs to the iron ascorbate-dependent oxidoreductase family
Nbe.v1.s00010g43930,Retrotransposon gag protein
Nbe.v1.s00010g43960,Belongs to the helicase family
Nbe.v1.s00010g43970,Belongs to the mitochondrial carrier (TC 2.A.29) family
Nbe.v1.s00010g43980,N-(5'-phosphoribosyl)anthranilate isomerase
Nbe.v1.s00010g43990,Omega-3 fatty acid desaturase
Nbe.v1.s00010g44000,isoform X1
Nbe.v1.s00010g44020,Anaphase-promoting complex subunit
Nbe.v1.s00010g44030,Anaphase-promoting complex subunit
Nbe.v1.s00010g44050,Small hydrophilic plant seed protein
Nbe.v1.s00010g44060,"transposition, RNA-mediated"
Nbe.v1.s00010g44080,phosphatase 2c
Nbe.v1.s00010g44090,RNase H family protein
Nbe.v1.s00010g44100,Phenylalanine ammonia-lyase
Nbe.v1.s00010g44110,Phenylalanine ammonia-lyase
Nbe.v1.s00010g44130,Clathrin-H-link
Nbe.v1.s00010g44160,GDP-Man Man(3)GlcNAc(2)-PP-Dol
Nbe.v1.s00010g44170,Transcription factor
Nbe.v1.s00010g44190,Myb-like DNA-binding domain
Nbe.v1.s00010g44210,RING-H2 finger protein
Nbe.v1.s00010g44260,DNA-binding domain in plant proteins such as APETALA2 and EREBPs
Nbe.v1.s00010g44280,Myb/SANT-like DNA-binding domain
Nbe.v1.s00010g44290,LOB domain-containing protein
Nbe.v1.s00010g44310,U-box domain-containing protein
Nbe.v1.s00010g44320,UTP-monosaccharide-1-phosphate uridylyltransferase activity
Nbe.v1.s00010g44350,RNase H family protein
Nbe.v1.s00010g44360,G-quadruplex DNA unwinding
Nbe.v1.s00010g44390,Myb-like DNA-binding domain
Nbe.v1.s00010g44400,CoA-ligase
Nbe.v1.s00010g44410,Integrase core domain containing protein
Nbe.v1.s00010g44420,Mad3/BUB1 hoMad3/BUB1 homology region 1
Nbe.v1.s00010g44430,Pollen proteins Ole e I like
Nbe.v1.s00010g44440,Leucine rich repeat N-terminal domain
Nbe.v1.s00010g44460,Reverse transcriptase-like
Nbe.v1.s00010g44480,Binds the poly(A) tail of mRNA
Nbe.v1.s00010g44490,peptide-N4-(N-acetyl-beta- glucosaminyl)asparagine amidase A-like
Nbe.v1.s00010g44510,peptide-N4-(N-acetyl-beta- glucosaminyl)asparagine amidase A-like
Nbe.v1.s00010g44520,Putative S-adenosyl-L-methionine-dependent methyltransferase
Nbe.v1.s00010g44530,Eukaryotic translation initiation factor 2 subunit
Nbe.v1.s00010g44540,ribosome-binding factor A
Nbe.v1.s00010g44550,Belongs to the GDA1 CD39 NTPase family
Nbe.v1.s00010g44570,Multiple inositol polyphosphate phosphatase
Nbe.v1.s00010g44580,PPR repeat
Nbe.v1.s00010g44600,"Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis. Iron is taken up in the ferrous form and deposited as ferric hydroxides after oxidation"
Nbe.v1.s00010g44610,Glycosyl hydrolase family 85
Nbe.v1.s00010g44620,ATP-dependent RNA helicase
Nbe.v1.s00010g44660,trichome birefringence-like 33
Nbe.v1.s00010g44670,trichome birefringence-like 33
Nbe.v1.s00010g44690,Abscisic acid receptor
Nbe.v1.s00010g44700,-
Nbe.v1.s00010g44730,SNF2 domain-containing protein
Nbe.v1.s00010g44740,DNA-binding domain in plant proteins such as APETALA2 and EREBPs
Nbe.v1.s00010g44750,ubiquitin-protein transferase activity
Nbe.v1.s00010g44770,-
Nbe.v1.s00010g44780,Ribonuclease H protein
Nbe.v1.s00010g44790,-
Nbe.v1.s00010g44810,Reverse transcriptase-like
Nbe.v1.s00010g44870,Vps5 C terminal like
Nbe.v1.s00010g44880,Leucine rich repeat N-terminal domain
Nbe.v1.s00010g44890,May be involved in both secretory and endocytic intracellular trafficking in the endosomal prevacuolar compartments
Nbe.v1.s00010g44900,Biotin-requiring enzyme
Nbe.v1.s00010g44910,DCD
Nbe.v1.s00010g44920,"Haem-binding uptake, Tiki superfamily, ChaN"
Nbe.v1.s00010g44930,Prephenate dehydrogenase
Nbe.v1.s00010g44940,Protein EARLY RESPONSIVE TO DEHYDRATION 15-like
Nbe.v1.s00010g44950,Heavy-metal-associated domain
Nbe.v1.s00010g44970,Staphylococcal nuclease homologues
Nbe.v1.s00010g44980,BEST Arabidopsis thaliana protein match is
Nbe.v1.s00010g45010,"transposition, RNA-mediated"
Nbe.v1.s00010g45020,DNA RNA polymerases superfamily protein
Nbe.v1.s00010g45030,Alpha-soluble NSF attachment
Nbe.v1.s00010g45050,Transmembrane amino acid transporter protein
Nbe.v1.s00010g45060,Amino acid transporter
Nbe.v1.s00010g45075,Plant transposase (Ptta/En/Spm family)
Nbe.v1.s00010g45100,-
Nbe.v1.s00010g45110,-
Nbe.v1.s00010g45120,Uncharacterized protein K02A2.6-like
Nbe.v1.s00010g45130,Uncharacterized protein K02A2.6-like
Nbe.v1.s00010g45140,Nop53 (60S ribosomal biogenesis)
Nbe.v1.s00010g45170,-
Nbe.v1.s00010g45190,"Broad-Complex, Tramtrack and Bric a brac"
Nbe.v1.s00010g45230,Hypoxia induced protein conserved region
Nbe.v1.s00010g45250,-
Nbe.v1.s00010g45260,Plays an important role in the de novo pathway and in the salvage pathway of purine nucleotide biosynthesis. Catalyzes the first commited step in the biosynthesis of AMP from IMP
Nbe.v1.s00010g45270,DNA-binding protein smubp-2
Nbe.v1.s00010g45280,DNA-binding protein smubp-2
Nbe.v1.s00010g45300,Ribonuclease H protein
Nbe.v1.s00010g45310,PHD zinc finger
Nbe.v1.s00010g45320,Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
Nbe.v1.s00010g45330,Ribonuclease H protein
Nbe.v1.s00010g45340,-
Nbe.v1.s00010g45360,-
Nbe.v1.s00010g45370,DYW family of nucleic acid deaminases
Nbe.v1.s00010g45380,DYW family of nucleic acid deaminases
Nbe.v1.s00010g45410,zinc finger
Nbe.v1.s00010g45440,Bulb-type mannose-specific lectin
Nbe.v1.s00010g45450,-
Nbe.v1.s00010g45490,Toll - interleukin 1 - resistance
Nbe.v1.s00010g45500,Toll - interleukin 1 - resistance
Nbe.v1.s00010g45510,Guanylate kinase
Nbe.v1.s00010g45540,Ribonuclease H protein
Nbe.v1.s00010g45550,No apical meristem (NAM) protein
Nbe.v1.s00010g45570,acetyltransferase activator activity
Nbe.v1.s00010g45600,NAC transcription factor
Nbe.v1.s00010g45610,Raffinose synthase or seed imbibition protein Sip1
Nbe.v1.s00010g45620,Calcium-dependent protein kinase
Nbe.v1.s00010g45630,Calcium-dependent protein kinase
Nbe.v1.s00010g45640,Elongation factor G C-terminus
Nbe.v1.s00010g45650,NAC transcription factor
Nbe.v1.s00010g45660,Belongs to the ATCase OTCase family
Nbe.v1.s00010g45680,Eukaryotic aspartyl protease
Nbe.v1.s00010g45690,protein phosphatase 2C 33
Nbe.v1.s00010g45700,"ATPase activity, coupled to transmembrane movement of substances"
Nbe.v1.s00010g45740,ACT domain
Nbe.v1.s00010g45750,Belongs to the protein kinase superfamily. Ser Thr protein kinase family
Nbe.v1.s00010g45760,Belongs to the DEAD box helicase family
Nbe.v1.s00010g45770,Translation initiation factor
Nbe.v1.s00010g45780,"transposition, RNA-mediated"
Nbe.v1.s00010g45790,Retroviral aspartyl protease
Nbe.v1.s00010g45800,Belongs to the mitochondrial carrier (TC 2.A.29) family
Nbe.v1.s00010g45810,Palmitoyl protein thioesterase
Nbe.v1.s00010g45820,"transposition, RNA-mediated"
Nbe.v1.s00010g45840,Ribonuclease H protein
Nbe.v1.s00010g45900,DNA RNA polymerases superfamily protein
Nbe.v1.s00010g45930,Zinc finger CCCH domain-containing protein ZFN-like
Nbe.v1.s00010g45940,GDT1-like protein
Nbe.v1.s00010g45950,Pentatricopeptide repeat domain
Nbe.v1.s00010g45960,Multicopper oxidase
Nbe.v1.s00010g45970,Lateral organ boundaries (LOB) domain
Nbe.v1.s00010g45980,Gamma-tubulin complex is necessary for microtubule nucleation at the centrosome
Nbe.v1.s00010g45990,Introduction of a cis double bond between carbons of the acyl chain
Nbe.v1.s00010g46030,Phosphatidylethanolamine-binding protein
Nbe.v1.s00010g46040,plant mutator transposase zinc finger
Nbe.v1.s00010g46050,Conserved gene of
Nbe.v1.s00010g46060,"transposition, RNA-mediated"
Nbe.v1.s00010g46120,"transposition, RNA-mediated"
Nbe.v1.s00010g46140,occurring C-terminal to leucine-rich repeats
Nbe.v1.s00010g46150,Protein of unknown function (DUF565)
Nbe.v1.s00010g46160,Pumilio homolog 4-like
Nbe.v1.s00010g46170,Belongs to the glyceraldehyde-3-phosphate dehydrogenase family
Nbe.v1.s00010g46190,Amino acid transporter
Nbe.v1.s00010g46200,Belongs to the SKP1 family
Nbe.v1.s00010g46220,BLOC-1-related complex sub-unit 8
Nbe.v1.s00010g46250,L-type lectin-domain containing receptor kinase
Nbe.v1.s00010g46260,Amb_all
Nbe.v1.s00010g46270,Glycine-rich RNA-binding protein
Nbe.v1.s00010g46290,Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family
Nbe.v1.s00010g46300,Plant self-incompatibility protein S1
Nbe.v1.s00010g46320,Polysaccharide biosynthesis
Nbe.v1.s00010g46330,-
Nbe.v1.s00010g46370,Domain of unknown function (DUF4283)
Nbe.v1.s00010g46410,Domain of unknown function (DUF4283)
Nbe.v1.s00010g46440,-
Nbe.v1.s00010g46450,-
Nbe.v1.s00010g46460,Belongs to the 'GDSL' lipolytic enzyme family
Nbe.v1.s00010g46480,Exocyst component 84 C-terminal
Nbe.v1.s00010g46490,Zinc finger BED domain-containing protein
Nbe.v1.s00010g46500,Zinc finger BED domain-containing protein
Nbe.v1.s00010g46510,Domain of unknown function (DUF4413)
Nbe.v1.s00010g46520,Belongs to the 'GDSL' lipolytic enzyme family
Nbe.v1.s00010g46530,U2 snRNP-associated SURP motif-containing protein-like isoform X1
Nbe.v1.s00010g46560,mitochondrial fission
Nbe.v1.s00010g46570,Belongs to the 'GDSL' lipolytic enzyme family
Nbe.v1.s00010g46580,BEST Arabidopsis thaliana protein match is
Nbe.v1.s00010g46590,60S ribosomal protein
Nbe.v1.s00010g46610,-
Nbe.v1.s00010g46630,TAGL12 transcription factor
Nbe.v1.s00010g46670,Suppressor of mec-8 and unc-52 protein homolog
Nbe.v1.s00010g46680,12-oxophytodienoate reductase
Nbe.v1.s00010g46700,Integrase core domain containing protein
Nbe.v1.s00010g46720,12-oxophytodienoate reductase
Nbe.v1.s00010g46770,Meprin and TRAF homology domain-containing protein MATH domain-containing protein
Nbe.v1.s00010g46780,"ADP,ATP carrier protein"
Nbe.v1.s00010g46790,"Dual specificity phosphatase, catalytic domain"
Nbe.v1.s00010g46810,Histidine kinase
Nbe.v1.s00010g46820,CBL-interacting protein kinase
Nbe.v1.s00010g46840,Uroporphyrinogen decarboxylase
Nbe.v1.s00010g46850,Haloacid dehalogenase-like hydrolase
Nbe.v1.s00010g46860,high mobility group
Nbe.v1.s00010g46900,"transposition, RNA-mediated"
Nbe.v1.s00010g46910,Inactive leucine-rich repeat receptor-like protein kinase
Nbe.v1.s00010g46940,Weak chloroplast movement under blue light
Nbe.v1.s00010g46970,-
Nbe.v1.s00010g47000,"transposition, RNA-mediated"
Nbe.v1.s00010g47010,lob domain-containing protein
Nbe.v1.s00010g47020,Belongs to the peroxidase family
Nbe.v1.s00010g47030,Agamous-like MADS-box protein
Nbe.v1.s00010g47040,gag-polypeptide of LTR copia-type
Nbe.v1.s00010g47050,gag-polypeptide of LTR copia-type
Nbe.v1.s00010g47060,lipid catabolic process
Nbe.v1.s00010g47090,POT family
Nbe.v1.s00010g47110,-
Nbe.v1.s00010g47150,EGF-like domain
Nbe.v1.s00010g47170,GDP-fucose protein O-fucosyltransferase
Nbe.v1.s00010g47180,Belongs to the multi antimicrobial extrusion (MATE) (TC 2.A.66.1) family
Nbe.v1.s00010g47200,"Ulp1 protease family, C-terminal catalytic domain containing protein"
Nbe.v1.s00010g47210,Encoded by
Nbe.v1.s00010g47230,Acyltransferase C-terminus
Nbe.v1.s00010g47240,MULE transposase domain
Nbe.v1.s00010g47250,"WD domain, G-beta repeat"
Nbe.v1.s00010g47260,Histone-binding protein RBBP4 or subunit C of CAF1 complex
Nbe.v1.s00010g47280,zinc finger
Nbe.v1.s00010g47290,DNA RNA polymerases superfamily protein
Nbe.v1.s00010g47300,Pentatricopeptide repeat-containing protein
Nbe.v1.s00010g47340,PDZ domain (Also known as DHR or GLGF)
Nbe.v1.s00010g47380,Trigger factor-like protein
Nbe.v1.s00010g47390,aarF domain-containing protein kinase 1-like
Nbe.v1.s00010g47420,UDP-glucoronosyl and UDP-glucosyl transferase
Nbe.v1.s00010g47430,-
Nbe.v1.s00010g47440,Domain of unknown function (DUF4283)
Nbe.v1.s00010g47480,Pentatricopeptide repeat domain
Nbe.v1.s00010g47490,"Serine/Threonine protein kinases, catalytic domain"
Nbe.v1.s00010g47510,Chaperone protein dnaJ 6-like
Nbe.v1.s00010g47520,Pentatricopeptide repeat-containing protein
Nbe.v1.s00010g47540,Zinc finger A20 and AN1 domain-containing stress-associated protein 8-like
Nbe.v1.s00010g47550,Leucine-rich repeat receptor-like protein kinase
Nbe.v1.s00010g47580,-
Nbe.v1.s00010g47600,gag-polyprotein putative aspartyl protease
Nbe.v1.s00010g47630,BEST Arabidopsis thaliana protein match is nucleolar protein
Nbe.v1.s00010g47650,Spinocerebellar ataxia type 10 protein domain
Nbe.v1.s00010g47660,-
Nbe.v1.s00010g47670,Transcription factor
Nbe.v1.s00010g47700,Cornichon protein
Nbe.v1.s00010g47710,Mur ligase middle domain
Nbe.v1.s00010g47730,OTU-like cysteine protease
Nbe.v1.s00010g47750,Leucine rich repeat N-terminal domain
Nbe.v1.s00010g47770,Belongs to the glycosyl hydrolase 28 family
Nbe.v1.s00010g47780,Pentatricopeptide repeat domain
Nbe.v1.s00010g47790,Pentatricopeptide repeat domain
Nbe.v1.s00010g47810,Rab subfamily of small GTPases
Nbe.v1.s00010g47820,squalene
Nbe.v1.s00010g47850,negative regulation of ubiquitin-protein transferase activity
Nbe.v1.s00010g47880,Exocyst complex component
Nbe.v1.s00010g47890,Prokaryotic RING finger family 4
Nbe.v1.s00010g47900,NAC domain-containing protein 78-like
Nbe.v1.s00010g47910,NAC domain-containing protein 78-like
Nbe.v1.s00010g47920,NAC domain-containing protein 78-like
Nbe.v1.s00010g47930,NAC domain-containing protein 78-like
Nbe.v1.s00010g47940,NAC domain-containing protein 78-like
Nbe.v1.s00010g47950,NAC domain-containing protein 78-like
Nbe.v1.s00010g47960,NAC domain-containing protein 78-like
Nbe.v1.s00010g47970,NAC domain-containing protein 78-like
Nbe.v1.s00010g47980,NAC domain-containing protein 78-like
Nbe.v1.s00010g47990,NAC domain-containing protein 78-like
Nbe.v1.s00010g48000,NAC domain-containing protein 78-like
Nbe.v1.s00010g48010,NAC domain-containing protein 78-like
Nbe.v1.s00010g48020,NAC domain-containing protein 78-like
Nbe.v1.s00010g48030,NAC domain-containing protein 78-like
Nbe.v1.s00010g48040,NAC domain-containing protein 78-like
Nbe.v1.s00010g48050,NAC domain-containing protein 78-like
Nbe.v1.s00010g48060,NAC domain-containing protein 78-like
Nbe.v1.s00010g48070,Alpha/beta hydrolase family
Nbe.v1.s00010g48090,"Component of the Mediator complex, a coactivator involved in regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors"
Nbe.v1.s00010g48100,Protein FAR-RED IMPAIRED RESPONSE 1-like
Nbe.v1.s00010g48120,cytochrome P450
Nbe.v1.s00010g48130,AIG1 family
Nbe.v1.s00010g48150,-
Nbe.v1.s00010g48180,Elongation factor 1-gamma
Nbe.v1.s00010g48220,SNF1-related protein kinase catalytic subunit alpha KIN10-like
Nbe.v1.s00010g48230,gag-polypeptide of LTR copia-type
Nbe.v1.s00010g48250,Mini-chromosome maintenance replisome factor
Nbe.v1.s00010g48260,Ribonuclease H protein
Nbe.v1.s00010g48270,-
Nbe.v1.s00010g48310,Potassium transporter
Nbe.v1.s00010g48320,Integrase core domain containing protein
Nbe.v1.s00010g48330,zinc-binding in reverse transcriptase
Nbe.v1.s00010g48350,-
Nbe.v1.s00010g48370,-
Nbe.v1.s00010g48380,RING-H2 finger protein
Nbe.v1.s00010g48390,basic region leucin zipper
Nbe.v1.s00010g48420,Rare lipoprotein A (RlpA)-like double-psi beta-barrel
Nbe.v1.s00010g48430,Reticulon-like protein
Nbe.v1.s00010g48440,gag-polypeptide of LTR copia-type
Nbe.v1.s00010g48460,Triose-phosphate Transporter family
Nbe.v1.s00010g48510,gag-polypeptide of LTR copia-type
Nbe.v1.s00010g48520,Ribonuclease H protein
Nbe.v1.s00010g48530,cheY-homologous receiver domain
Nbe.v1.s00010g48550,zinc finger
Nbe.v1.s00010g48580,Glycerol-3-phosphate dehydrogenase
Nbe.v1.s00010g48590,Pentatricopeptide repeat domain
Nbe.v1.s00010g48600,inactive serine threonine-protein kinase scy1 isoform X1
Nbe.v1.s00010g48650,DNA binding domain
Nbe.v1.s00010g48670,isoform X1
Nbe.v1.s00010g48720,Cytidylyltransferase-like
Nbe.v1.s00010g48750,Potassium channel
Nbe.v1.s00010g48770,Protein trichome birefringence-like 6
Nbe.v1.s00010g48780,"N2,N2-dimethylguanosine tRNA methyltransferase"
Nbe.v1.s00010g48820,DNA RNA polymerases superfamily protein
Nbe.v1.s00010g48830,Destroys radicals which are normally produced within the cells and which are toxic to biological systems
Nbe.v1.s00010g49400,-
Nbe.v1.s00010g51470,-
Nbe.v1.s00010g51530,F-box FBD LRR-repeat protein
Nbe.v1.s00010g51550,Leucine rich repeat N-terminal domain
Nbe.v1.s00010g51570,conserved protein UCP030365
Nbe.v1.s00010g51630,DNA binding domain
Nbe.v1.s00010g51650,Rhodanese Homology Domain
Nbe.v1.s00010g51660,Ubiquinol-cytochrome c reductase complex 6.7 kDa
Nbe.v1.s00010g51690,RNase H family protein
Nbe.v1.s00010g51700,C2C2 Zinc finger
Nbe.v1.s00010g51710,lipid-transfer protein DIR1
Nbe.v1.s00010g51720,SNF2 family N-terminal domain
Nbe.v1.s00010g51730,Translation initiation factor 1A / IF-1
Nbe.v1.s00010g51740,Probable zinc-ribbon domain
Nbe.v1.s00010g51770,Transcription factor UNE12-like
Nbe.v1.s00010g51790,-
Nbe.v1.s00010g51810,-
Nbe.v1.s00010g51820,Alpha/beta hydrolase family
Nbe.v1.s00010g51840,Protein kinase C terminal domain
Nbe.v1.s00010g51850,AhpC/TSA family
Nbe.v1.s00010g51860,Leucine rich repeat N-terminal domain
Nbe.v1.s00010g51870,ABC transporter I family member 6
Nbe.v1.s00010g51880,BEST Arabidopsis thaliana protein match is
Nbe.v1.s00010g51890,NAC domain-containing protein 78-like
Nbe.v1.s00010g51900,NAC domain-containing protein 78-like
Nbe.v1.s00010g51910,NAC domain-containing protein 78-like
Nbe.v1.s00010g51920,NAC domain-containing protein 78-like
Nbe.v1.s00010g51930,NAC domain-containing protein 78-like
Nbe.v1.s00010g51940,N-terminal C2 in EEIG1 and EHBP1 proteins
Nbe.v1.s00010g51950,Belongs to the 'GDSL' lipolytic enzyme family
Nbe.v1.s00010g51970,gag-polypeptide of LTR copia-type
Nbe.v1.s00010g51990,Uncharacterized protein K02A2.6-like
Nbe.v1.s00010g52000,Uncharacterized protein K02A2.6-like
Nbe.v1.s00010g52010,Chloride channel protein
Nbe.v1.s00010g52080,"CRAL/TRIO, N-terminal domain"
Nbe.v1.s00010g52100,Uncharacterized protein K02A2.6-like
Nbe.v1.s00010g52110,GAG-pre-integrase domain
Nbe.v1.s00010g52120,spliceosomal complex assembly
Nbe.v1.s00010g52130,gag-polypeptide of LTR copia-type
Nbe.v1.s00010g52140,"CRAL/TRIO, N-terminal domain"
Nbe.v1.s00010g52170,Domain of unknown function (DUF543)
Nbe.v1.s00010g52200,Dienelactone hydrolase family
Nbe.v1.s00010g52210,ATP-dependent protease La (LON) substrate-binding domain
Nbe.v1.s00010g52220,Protein of unknown function (DUF1232)
Nbe.v1.s00010g52230,NAC domain-containing protein 78-like
Nbe.v1.s00010g52240,NAC domain-containing protein 78-like
Nbe.v1.s00010g52250,NAC domain-containing protein 78-like
Nbe.v1.s00010g52260,NAC domain-containing protein 78-like
Nbe.v1.s00010g52270,NAC domain-containing protein 78-like
Nbe.v1.s00010g52280,NAC domain-containing protein 78-like
Nbe.v1.s00010g52290,Protein FAR1-RELATED SEQUENCE
Nbe.v1.s00010g52300,Alpha/beta hydrolase family
Nbe.v1.s00010g52310,NAC domain-containing protein 78-like
Nbe.v1.s00010g52320,Nuclear cap-binding protein subunit
Nbe.v1.s00010g52330,-
Nbe.v1.s00010g52350,isocitrate dehydrogenase (NAD+) activity
Nbe.v1.s00010g52380,Carbon-nitrogen hydrolase
Nbe.v1.s00010g52410,NAC domain-containing protein 78-like
Nbe.v1.s00010g52420,NAC domain-containing protein 78-like
Nbe.v1.s00010g52430,NAC domain-containing protein 78-like
Nbe.v1.s00010g52440,NAC domain-containing protein 78-like
Nbe.v1.s00010g52450,NAC domain-containing protein 78-like
Nbe.v1.s00010g52460,NAC domain-containing protein 78-like
Nbe.v1.s00010g52480,NAC domain-containing protein 78-like
Nbe.v1.s00010g52490,NAC domain-containing protein 78-like
Nbe.v1.s00010g52510,NAC domain-containing protein 78-like
Nbe.v1.s00010g52520,NAC domain-containing protein 78-like
Nbe.v1.s00010g52530,NAC domain-containing protein 78-like
Nbe.v1.s00010g52540,NAC domain-containing protein 78-like
Nbe.v1.s00010g52550,NAC domain-containing protein 78-like
Nbe.v1.s00010g52560,NAC domain-containing protein 78-like
Nbe.v1.s00010g52570,NAC domain-containing protein 78-like
Nbe.v1.s00010g52580,NAC domain-containing protein 78-like
Nbe.v1.s00010g52590,NAC domain-containing protein 78-like
Nbe.v1.s00010g52600,NAC domain-containing protein 78-like
Nbe.v1.s00010g52620,mTERF
Nbe.v1.s00010g52630,Conserved gene of
Nbe.v1.s00010g52660,"transposition, RNA-mediated"
Nbe.v1.s00010g52670,Protein NRT1 PTR FAMILY 5.10-like
Nbe.v1.s00010g52680,mTERF
Nbe.v1.s00010g52690,Transmembrane 9 superfamily member
Nbe.v1.s00010g52710,mTERF
Nbe.v1.s00010g52720,termination of mitochondrial transcription
Nbe.v1.s00010g52740,Belongs to the EF-1-beta EF-1-delta family
Nbe.v1.s00010g52760,mTERF
Nbe.v1.s00010g52770,termination of mitochondrial transcription
Nbe.v1.s00010g52780,Protein FAR1-RELATED SEQUENCE
Nbe.v1.s00010g52790,L-threonine ammonia-lyase activity
Nbe.v1.s00010g52820,termination of mitochondrial transcription
Nbe.v1.s00010g52840,Mitochondrial transcription termination factor family protein
Nbe.v1.s00010g52860,mTERF
Nbe.v1.s00010g52870,Mitochondrial transcription termination factor family protein
Nbe.v1.s00010g52880,DNA recombination
Nbe.v1.s00010g52890,termination of mitochondrial transcription
Nbe.v1.s00010g52910,protein FAR1-RELATED SEQUENCE
Nbe.v1.s00010g52920,Uncharacterized protein family UPF0004
Nbe.v1.s00010g52930,Uncharacterized protein family UPF0004
Nbe.v1.s00010g52940,Plant phosphoribosyltransferase C-terminal
Nbe.v1.s00010g52960,-
